dateFinal,timeFinal,Temperature,Humidity,CO2,TVOC,PM1
04/12/2022,19:45:45,34.19,57.43,570,25,18
04/12/2022,19:45:50,34.21,57.28,543,21,18
04/12/2022,19:45:55,34.21,57.14,556,23,19
04/12/2022,19:46:01,34.17,57.12,539,21,19
04/12/2022,19:46:06,34.21,57.14,533,20,18
04/12/2022,19:46:12,34.22,57.21,539,21,17
04/12/2022,19:46:18,34.24,57.22,533,20,17
04/12/2022,19:46:23,34.28,57.32,524,18,18
04/12/2022,19:46:29,34.31,57.37,514,17,18
04/12/2022,19:46:34,34.3,57.4,514,17,17
04/12/2022,19:46:39,34.31,57.43,527,19,17
04/12/2022,19:46:44,34.32,57.26,531,19,17
04/12/2022,19:46:49,34.31,57.03,537,20,17
04/12/2022,19:46:55,34.34,56.88,542,21,18
04/12/2022,19:47:00,34.35,56.72,548,22,18
04/12/2022,19:47:05,34.35,56.52,552,23,18
04/12/2022,19:47:10,34.36,56.38,555,23,18
04/12/2022,19:47:15,34.35,56.16,566,25,18
04/12/2022,19:47:21,34.36,55.93,575,26,17
04/12/2022,19:47:26,34.38,55.77,569,25,17
04/12/2022,19:47:32,34.37,55.72,575,26,17
04/12/2022,19:47:37,34.37,55.64,575,26,16
04/12/2022,19:47:42,34.37,55.63,575,26,16
04/12/2022,19:47:47,34.37,55.66,566,25,16
04/12/2022,19:47:53,34.38,55.68,569,25,16
04/12/2022,19:47:58,34.38,55.67,569,25,17
04/12/2022,19:48:03,34.38,55.68,552,23,17
04/12/2022,19:48:09,34.39,55.75,566,25,17
04/12/2022,19:48:14,34.39,55.88,548,22,17
04/12/2022,19:48:19,34.42,55.96,548,22,17
04/12/2022,19:48:25,34.4,55.94,548,22,17
04/12/2022,19:48:30,34.4,55.88,548,22,18
04/12/2022,19:48:35,34.37,55.92,569,25,18
04/12/2022,19:48:41,34.42,55.91,572,26,18
04/12/2022,19:48:46,34.4,55.84,572,26,18
04/12/2022,19:48:52,34.44,55.83,549,22,18
04/12/2022,19:48:58,34.43,56.15,491,13,18
04/12/2022,19:49:03,34.44,56.4,500,15,18
04/12/2022,19:49:09,34.44,56.42,529,19,18
04/12/2022,19:49:15,34.45,56.29,549,22,18
04/12/2022,19:49:21,34.44,56.13,545,22,17
04/12/2022,19:49:26,34.47,56.05,552,23,17
04/12/2022,19:49:31,34.45,56.03,577,26,17
04/12/2022,19:49:37,34.48,56.08,564,24,16
04/12/2022,19:49:42,34.47,55.96,589,28,16
04/12/2022,19:49:48,34.47,55.93,551,23,16
04/12/2022,19:49:54,34.48,56.08,537,20,16
04/12/2022,19:49:59,34.49,55.98,551,23,16
04/12/2022,19:50:04,34.51,55.87,561,24,17
04/12/2022,19:50:10,34.52,55.68,570,25,17
04/12/2022,19:50:15,34.53,55.56,565,25,17
04/12/2022,19:50:21,34.56,55.54,543,21,18
04/12/2022,19:50:26,34.55,55.56,551,23,18
04/12/2022,19:50:31,34.56,55.52,537,20,17
04/12/2022,19:50:36,34.57,55.52,561,24,17
04/12/2022,19:50:42,34.57,55.45,556,23,17
04/12/2022,19:50:47,34.58,55.44,556,23,17
04/12/2022,19:50:53,34.62,55.45,561,24,16
04/12/2022,19:50:58,34.6,55.48,556,23,17
04/12/2022,19:51:03,34.61,55.52,545,22,17
04/12/2022,19:51:08,34.62,55.59,548,22,17
04/12/2022,19:51:14,34.6,55.8,530,19,17
04/12/2022,19:51:19,34.6,55.97,506,16,17
04/12/2022,19:51:24,34.61,55.81,540,21,16
04/12/2022,19:51:30,34.62,55.66,524,18,15
04/12/2022,19:51:35,34.63,55.79,506,16,15
04/12/2022,19:51:41,34.65,55.89,517,17,15
04/12/2022,19:51:46,34.66,55.86,529,19,15
04/12/2022,19:51:51,34.68,55.92,495,14,15
04/12/2022,19:51:57,34.68,56.32,472,10,17
04/12/2022,19:52:03,34.68,56.35,523,18,17
04/12/2022,19:52:08,34.7,56.28,523,18,17
04/12/2022,19:52:13,34.7,56.17,529,19,17
04/12/2022,19:52:19,34.71,56.14,523,18,17
04/12/2022,19:52:24,34.68,56.04,517,17,17
04/12/2022,19:52:29,34.71,56.03,495,14,18
04/12/2022,19:52:34,34.69,56.07,495,14,17
04/12/2022,19:52:39,34.68,56.14,493,14,16
04/12/2022,19:52:44,34.69,56.23,483,12,16
04/12/2022,19:52:50,34.66,56.28,498,14,16
04/12/2022,19:52:55,34.73,56.33,473,11,16
04/12/2022,19:53:01,34.7,56.37,483,12,17
04/12/2022,19:53:06,34.73,56.35,483,12,17
04/12/2022,19:53:11,34.74,56.33,481,12,17
04/12/2022,19:53:17,34.75,56.27,493,14,18
04/12/2022,19:53:23,34.74,56.22,483,12,18
04/12/2022,19:53:28,34.76,56.41,470,10,17
04/12/2022,19:53:33,34.79,56.48,464,9,17
04/12/2022,19:53:38,34.8,56.66,443,6,16
04/12/2022,19:53:44,34.82,56.81,450,7,16
04/12/2022,19:53:49,34.83,56.81,459,8,16
04/12/2022,19:53:54,34.84,56.75,472,10,16
04/12/2022,19:53:59,34.84,56.75,455,8,16
04/12/2022,19:54:05,34.87,56.72,466,10,16
04/12/2022,19:54:10,34.87,56.88,422,3,16
04/12/2022,19:54:15,34.88,57.11,439,5,16
04/12/2022,19:54:21,34.9,57.29,434,5,16
04/12/2022,19:54:26,34.9,57.25,463,9,17
04/12/2022,19:54:31,34.92,57.07,463,9,17
04/12/2022,19:54:36,34.9,56.94,459,8,17
04/12/2022,19:54:41,34.91,56.88,444,6,16
04/12/2022,19:54:47,34.93,56.83,426,3,16
04/12/2022,19:54:52,34.93,56.86,421,3,16
04/12/2022,19:54:57,34.93,56.87,444,6,16
04/12/2022,19:55:03,34.93,56.72,462,9,18
04/12/2022,19:55:09,34.95,56.6,457,8,18
04/12/2022,19:55:14,34.95,56.55,444,6,18
04/12/2022,19:55:19,34.96,56.55,438,5,17
04/12/2022,19:55:24,34.95,56.66,444,6,16
04/12/2022,19:55:29,34.95,56.81,442,6,16
04/12/2022,19:55:36,34.97,56.83,448,7,16
04/12/2022,19:55:41,34.95,56.75,464,9,16
04/12/2022,19:55:47,34.99,56.69,436,5,16
04/12/2022,19:55:52,34.99,56.71,436,5,17
04/12/2022,19:55:57,34.99,56.83,425,3,17
04/12/2022,19:56:02,35,56.99,407,1,18
04/12/2022,19:56:07,34.99,57.14,413,1,18
04/12/2022,19:56:13,34.99,57.21,405,0,17
04/12/2022,19:56:18,35,57.15,421,3,17
04/12/2022,19:56:23,35,57.14,402,0,17
04/12/2022,19:56:28,35.01,57.13,423,3,17
04/12/2022,19:56:34,35.02,57.1,415,2,17
04/12/2022,19:56:39,35.04,57.07,428,4,17
04/12/2022,19:56:45,35.02,57.1,418,2,17
04/12/2022,19:56:50,35.04,57.27,402,0,17
04/12/2022,19:56:56,35.04,57.49,407,1,17
04/12/2022,19:57:01,35.03,57.58,402,0,17
04/12/2022,19:57:06,35.04,57.61,415,2,16
04/12/2022,19:57:11,35.06,57.61,400,0,16
04/12/2022,19:57:17,35.06,57.65,406,0,16
04/12/2022,19:57:22,35.09,57.67,416,2,16
04/12/2022,19:57:27,35.09,57.69,406,0,17
04/12/2022,19:57:34,35.11,57.72,406,0,17
04/12/2022,19:57:39,35.13,57.83,411,1,18
04/12/2022,19:57:44,35.14,57.94,407,1,18
04/12/2022,19:57:50,35.13,58.03,413,1,17
04/12/2022,19:57:55,35.15,58.09,409,1,17
04/12/2022,19:58:00,35.17,58.14,413,1,17
04/12/2022,19:58:06,35.18,58.13,400,0,17
04/12/2022,19:58:11,35.17,58.16,400,0,17
04/12/2022,19:58:16,35.19,58.22,409,1,17
04/12/2022,19:58:22,35.2,58.28,402,0,16
04/12/2022,19:58:27,35.22,58.3,406,0,16
04/12/2022,19:58:33,35.23,58.33,402,0,16
04/12/2022,19:58:38,35.23,58.39,405,0,16
04/12/2022,19:58:43,35.22,58.44,403,0,16
04/12/2022,19:58:48,35.24,58.47,400,0,17
04/12/2022,19:58:53,35.26,58.47,402,0,17
04/12/2022,19:58:59,35.27,58.51,402,0,16
04/12/2022,19:59:04,35.28,58.51,406,0,17
04/12/2022,19:59:09,35.27,58.46,410,1,17
04/12/2022,19:59:15,35.28,58.44,421,3,17
04/12/2022,19:59:20,35.28,58.38,421,3,17
04/12/2022,19:59:25,35.27,58.32,421,3,18
04/12/2022,19:59:31,35.3,58.29,421,3,18
04/12/2022,19:59:36,35.29,58.28,418,2,18
04/12/2022,19:59:41,35.28,58.29,414,2,18
04/12/2022,19:59:47,35.31,58.31,424,3,17
04/12/2022,19:59:53,35.29,58.33,421,3,17
04/12/2022,19:59:58,35.31,58.33,414,2,17
04/12/2022,20:00:03,35.3,58.4,410,1,17
04/12/2022,20:00:08,35.36,58.45,406,0,17
04/12/2022,20:00:14,35.35,58.46,406,0,17
04/12/2022,20:00:19,35.32,58.49,410,1,17
04/12/2022,20:00:25,35.36,58.46,408,1,17
04/12/2022,20:00:30,35.35,58.46,408,1,16
04/12/2022,20:00:35,35.35,58.42,410,1,16
04/12/2022,20:00:40,35.37,58.4,410,1,16
04/12/2022,20:00:46,35.39,58.36,414,2,17
04/12/2022,20:00:51,35.37,58.3,418,2,17
04/12/2022,20:00:56,35.39,58.25,414,2,17
04/12/2022,20:01:02,35.39,58.21,414,2,17
04/12/2022,20:01:07,35.4,58.19,414,2,17
04/12/2022,20:01:12,35.4,58.2,410,1,17
04/12/2022,20:01:17,35.39,58.22,405,0,17
04/12/2022,20:01:23,35.4,58.21,408,1,17
04/12/2022,20:01:28,35.41,58.2,418,2,16
04/12/2022,20:01:33,35.43,58.2,410,1,16
04/12/2022,20:01:38,35.43,58.19,403,0,17
04/12/2022,20:01:44,35.44,58.2,405,0,17
04/12/2022,20:01:49,35.43,58.16,410,1,17
04/12/2022,20:01:54,35.43,58.14,414,2,17
04/12/2022,20:01:59,35.48,58.14,405,0,17
04/12/2022,20:02:05,35.48,58.17,402,0,17
04/12/2022,20:02:10,35.45,58.16,410,1,17
04/12/2022,20:02:15,35.45,58.18,415,2,17
04/12/2022,20:02:21,35.46,58.19,428,4,17
04/12/2022,20:02:26,35.48,58.2,410,1,16
04/12/2022,20:02:32,35.48,58.2,415,2,17
04/12/2022,20:02:37,35.48,58.21,421,3,17
04/12/2022,20:02:42,35.5,58.16,439,5,16
04/12/2022,20:02:47,35.5,58.1,421,3,16
04/12/2022,20:02:52,35.5,58.05,424,3,17
04/12/2022,20:02:58,35.5,57.97,421,3,15
04/12/2022,20:03:04,35.5,57.94,439,5,15
04/12/2022,20:03:10,35.52,57.98,415,2,16
04/12/2022,20:03:15,35.55,57.96,424,3,16
04/12/2022,20:03:21,35.56,57.89,410,1,16
04/12/2022,20:03:26,35.57,57.89,418,2,17
04/12/2022,20:03:31,35.57,57.9,418,2,17
04/12/2022,20:03:37,35.58,57.9,402,0,17
04/12/2022,20:03:43,35.59,57.93,405,0,17
04/12/2022,20:03:48,35.56,57.98,410,1,17
04/12/2022,20:03:54,35.59,57.98,410,1,17
04/12/2022,20:04:00,35.61,58.01,414,2,17
04/12/2022,20:04:05,35.59,57.98,418,2,17
04/12/2022,20:04:11,35.58,57.96,434,5,17
04/12/2022,20:04:17,35.63,57.98,414,2,17
04/12/2022,20:04:22,35.63,57.94,408,1,18
04/12/2022,20:04:27,35.62,57.92,405,0,17
04/12/2022,20:04:32,35.61,57.9,426,3,17
04/12/2022,20:04:38,35.61,57.87,418,2,17
04/12/2022,20:04:43,35.63,57.9,423,3,16
04/12/2022,20:04:48,35.63,57.85,428,4,15
04/12/2022,20:04:54,35.64,57.82,410,1,16
04/12/2022,20:05:00,35.64,57.78,410,1,16
04/12/2022,20:05:05,35.63,57.78,414,2,16
04/12/2022,20:05:10,35.65,57.76,414,2,16
04/12/2022,20:05:15,35.65,57.78,410,1,16
04/12/2022,20:05:20,35.64,57.8,428,4,16
04/12/2022,20:05:26,35.64,57.83,410,1,16
04/12/2022,20:05:31,35.65,57.83,410,1,16
04/12/2022,20:05:37,35.65,57.82,407,1,17
04/12/2022,20:05:42,35.64,57.83,413,1,17
04/12/2022,20:05:47,35.65,57.86,407,1,17
04/12/2022,20:05:53,35.66,57.83,417,2,17
04/12/2022,20:05:59,35.66,57.78,403,0,17
04/12/2022,20:06:05,35.68,57.78,405,0,17
04/12/2022,20:06:10,35.67,57.77,413,1,16
04/12/2022,20:06:15,35.69,57.74,409,1,17
04/12/2022,20:06:20,35.68,57.74,409,1,16
04/12/2022,20:06:26,35.69,57.72,409,1,16
04/12/2022,20:06:31,35.7,57.72,427,4,16
04/12/2022,20:06:36,35.7,57.72,415,2,17
04/12/2022,20:06:42,35.71,57.69,413,1,17
04/12/2022,20:06:47,35.72,57.69,413,1,17
04/12/2022,20:06:52,35.72,57.69,409,1,17
04/12/2022,20:06:58,35.72,57.68,409,1,17
04/12/2022,20:07:03,35.73,57.65,409,1,17
04/12/2022,20:07:09,35.71,57.63,409,1,17
04/12/2022,20:07:14,35.72,57.65,405,0,17
04/12/2022,20:07:20,35.72,57.61,405,0,16
04/12/2022,20:07:25,35.72,57.61,405,0,15
04/12/2022,20:07:31,35.73,57.62,405,0,15
04/12/2022,20:07:36,35.71,57.62,400,0,15
04/12/2022,20:07:41,35.72,57.62,413,1,16
04/12/2022,20:07:46,35.71,57.65,409,1,16
04/12/2022,20:07:52,35.71,57.67,423,3,17
04/12/2022,20:07:57,35.68,57.65,418,2,16
04/12/2022,20:08:02,35.69,57.69,427,4,16
04/12/2022,20:08:08,35.69,57.69,415,2,16
04/12/2022,20:08:13,35.7,57.7,413,1,17
04/12/2022,20:08:18,35.72,57.72,415,2,17
04/12/2022,20:08:24,35.7,57.69,409,1,17
04/12/2022,20:08:29,35.71,57.7,415,2,17
04/12/2022,20:08:34,35.7,57.72,405,0,16
04/12/2022,20:08:40,35.69,57.72,423,3,16
04/12/2022,20:08:45,35.68,57.72,418,2,16
04/12/2022,20:08:51,35.67,57.74,427,4,16
04/12/2022,20:08:56,35.71,57.78,413,1,16
04/12/2022,20:09:01,35.7,57.8,405,0,17
04/12/2022,20:09:06,35.71,57.8,405,0,16
04/12/2022,20:09:11,35.7,57.78,409,1,17
04/12/2022,20:09:16,35.7,57.78,423,3,17
04/12/2022,20:09:22,35.72,57.78,409,1,17
04/12/2022,20:09:27,35.72,57.79,400,0,16
04/12/2022,20:09:32,35.72,57.78,408,1,16
04/12/2022,20:09:37,35.75,57.76,416,2,16
04/12/2022,20:09:42,35.71,57.72,426,3,16
04/12/2022,20:09:48,35.7,57.73,418,2,16
04/12/2022,20:09:53,35.69,57.76,433,5,16
04/12/2022,20:09:58,35.69,57.76,418,2,16
04/12/2022,20:10:03,35.69,57.75,418,2,16
04/12/2022,20:10:09,35.72,57.76,418,2,16
04/12/2022,20:10:14,35.7,57.74,413,1,16
04/12/2022,20:10:19,35.73,57.77,416,2,16
04/12/2022,20:10:25,35.73,57.76,408,1,16
04/12/2022,20:10:30,35.73,57.75,408,1,15
04/12/2022,20:10:35,35.76,57.75,402,0,15
04/12/2022,20:10:41,35.75,57.74,407,1,15
04/12/2022,20:10:46,35.73,57.74,407,1,16
04/12/2022,20:10:51,35.72,57.73,411,1,16
04/12/2022,20:10:56,35.73,57.71,421,3,16
04/12/2022,20:11:01,35.7,57.72,415,2,16
04/12/2022,20:11:07,35.71,57.74,432,4,17
04/12/2022,20:11:12,35.7,57.73,411,1,17
04/12/2022,20:11:17,35.72,57.75,402,0,17
04/12/2022,20:11:24,35.76,57.74,407,1,17
04/12/2022,20:11:29,35.76,57.73,415,2,16
04/12/2022,20:11:34,35.75,57.73,406,0,16
04/12/2022,20:11:41,35.72,57.71,410,1,15
04/12/2022,20:11:46,35.73,57.72,410,1,15
04/12/2022,20:11:51,35.73,57.74,415,2,15
04/12/2022,20:11:57,35.76,57.75,406,0,15
04/12/2022,20:12:02,35.75,57.76,421,3,16
04/12/2022,20:12:07,35.76,57.75,428,4,16
04/12/2022,20:12:13,35.73,57.74,415,2,16
04/12/2022,20:12:18,35.75,57.75,415,2,16
04/12/2022,20:12:24,35.76,57.78,418,2,16
04/12/2022,20:12:30,35.77,57.79,410,1,16
04/12/2022,20:12:35,35.77,57.76,406,0,15
04/12/2022,20:12:41,35.78,57.72,415,2,15
04/12/2022,20:12:46,35.77,57.72,415,2,15
04/12/2022,20:12:51,35.77,57.69,415,2,16
04/12/2022,20:12:57,35.78,57.7,410,1,16
04/12/2022,20:13:03,35.77,57.7,410,1,16
04/12/2022,20:13:08,35.8,57.69,406,0,16
04/12/2022,20:13:14,35.79,57.69,406,0,16
04/12/2022,20:13:20,35.78,57.66,406,0,16
04/12/2022,20:13:25,35.77,57.68,406,0,16
04/12/2022,20:13:30,35.77,57.69,410,1,16
04/12/2022,20:13:36,35.8,57.69,405,0,16
04/12/2022,20:13:42,35.79,57.69,409,1,16
04/12/2022,20:13:47,35.78,57.67,414,2,16
04/12/2022,20:13:52,35.78,57.68,405,0,17
04/12/2022,20:13:57,35.77,57.69,409,1,17
04/12/2022,20:14:03,35.77,57.69,414,2,16
04/12/2022,20:14:08,35.77,57.69,423,3,16
04/12/2022,20:14:13,35.78,57.71,409,1,16
04/12/2022,20:14:18,35.8,57.73,414,2,16
04/12/2022,20:14:23,35.81,57.72,414,2,16
04/12/2022,20:14:29,35.78,57.71,409,1,16
04/12/2022,20:14:35,35.8,57.71,407,1,16
04/12/2022,20:14:40,35.8,57.69,407,1,16
04/12/2022,20:14:46,35.82,57.68,410,1,17
04/12/2022,20:14:51,35.84,57.67,410,1,18
04/12/2022,20:14:56,35.86,57.65,410,1,17
04/12/2022,20:15:02,35.85,57.62,410,1,17
04/12/2022,20:15:07,35.83,57.61,421,3,17
04/12/2022,20:15:12,35.82,57.56,421,3,17
04/12/2022,20:15:18,35.85,57.59,418,2,16
04/12/2022,20:15:23,35.84,57.58,410,1,16
04/12/2022,20:15:28,35.86,57.58,410,1,16
04/12/2022,20:15:34,35.85,57.56,410,1,16
04/12/2022,20:15:39,35.83,57.58,410,1,16
04/12/2022,20:15:45,35.82,57.57,418,2,17
04/12/2022,20:15:50,35.82,57.58,418,2,17
04/12/2022,20:15:56,35.82,57.59,418,2,17
04/12/2022,20:16:02,35.81,57.59,421,3,17
04/12/2022,20:16:07,35.83,57.61,415,2,17
04/12/2022,20:16:12,35.82,57.61,410,1,17
04/12/2022,20:16:18,35.84,57.61,415,2,16
04/12/2022,20:16:23,35.82,57.59,418,2,16
04/12/2022,20:16:29,35.81,57.59,428,4,17
04/12/2022,20:16:34,35.82,57.58,414,2,17
04/12/2022,20:16:39,35.82,57.61,423,3,17
04/12/2022,20:16:44,35.85,57.61,414,2,17
04/12/2022,20:16:49,35.85,57.61,420,3,17
04/12/2022,20:16:55,35.85,57.56,414,2,17
04/12/2022,20:17:00,35.83,57.57,417,2,17
04/12/2022,20:17:05,35.82,57.57,414,2,17
04/12/2022,20:17:11,35.83,57.58,414,2,17
04/12/2022,20:17:16,35.8,57.61,414,2,17
04/12/2022,20:17:21,35.83,57.63,405,0,16
04/12/2022,20:17:26,35.84,57.61,420,3,16
04/12/2022,20:17:32,35.85,57.61,405,0,16
04/12/2022,20:17:37,35.85,57.58,407,1,16
04/12/2022,20:17:42,35.84,57.57,425,3,16
04/12/2022,20:17:48,35.84,57.56,411,1,17
04/12/2022,20:17:53,35.85,57.57,425,3,17
04/12/2022,20:17:58,35.84,57.59,411,1,17
04/12/2022,20:18:03,35.85,57.58,407,1,17
04/12/2022,20:18:08,35.85,57.59,402,0,17
04/12/2022,20:18:14,35.85,57.58,408,1,17
04/12/2022,20:18:19,35.84,57.58,413,1,18
04/12/2022,20:18:25,35.81,57.57,408,1,18
04/12/2022,20:18:30,35.79,57.58,426,3,18
04/12/2022,20:18:35,35.73,57.52,400,0,18
04/12/2022,20:18:40,35.72,57.51,418,2,18
04/12/2022,20:18:45,35.71,57.53,403,0,18
04/12/2022,20:18:51,35.68,57.54,413,1,19
04/12/2022,20:18:57,35.68,57.65,422,3,18
04/12/2022,20:19:02,35.64,57.66,418,2,18
04/12/2022,20:19:07,35.67,57.76,436,5,18
04/12/2022,20:19:12,35.66,57.76,426,3,18
04/12/2022,20:19:17,35.69,57.81,426,3,18
04/12/2022,20:19:23,35.69,57.8,426,3,18
04/12/2022,20:19:28,35.7,57.81,433,5,18
04/12/2022,20:19:33,35.7,57.81,422,3,18
04/12/2022,20:19:38,35.75,57.8,413,1,18
04/12/2022,20:19:44,35.75,57.82,422,3,18
04/12/2022,20:19:49,35.73,57.83,413,1,18
04/12/2022,20:19:54,35.77,57.78,416,2,18
04/12/2022,20:20:00,35.77,57.76,403,0,18
04/12/2022,20:20:05,35.79,57.76,403,0,19
04/12/2022,20:20:10,35.68,57.73,400,0,19
04/12/2022,20:20:16,35.66,57.72,409,1,19
04/12/2022,20:20:21,35.67,57.76,418,2,18
04/12/2022,20:20:26,35.69,57.78,418,2,18
04/12/2022,20:20:31,35.69,57.82,418,2,19
04/12/2022,20:20:36,35.69,57.83,409,1,19
04/12/2022,20:20:42,35.68,57.83,414,2,19
04/12/2022,20:20:47,35.64,57.83,414,2,19
04/12/2022,20:20:53,35.62,57.83,400,0,19
04/12/2022,20:20:58,35.64,57.89,414,2,19
04/12/2022,20:21:03,35.64,57.92,406,0,19
04/12/2022,20:21:08,35.64,57.97,409,1,19
04/12/2022,20:21:13,35.63,57.96,409,1,20
04/12/2022,20:21:19,35.65,58,406,0,20
04/12/2022,20:21:24,35.66,58.02,406,0,20
04/12/2022,20:21:29,35.68,58.02,409,1,20
04/12/2022,20:21:35,35.67,58.02,434,5,20
04/12/2022,20:21:40,35.66,58.03,422,3,19
04/12/2022,20:21:45,35.67,58.02,443,6,19
04/12/2022,20:21:52,35.67,58.05,424,3,19
04/12/2022,20:21:57,35.68,58.08,424,3,19
04/12/2022,20:22:02,35.67,58.05,434,5,19
04/12/2022,20:22:07,35.69,58.03,409,1,19
04/12/2022,20:22:12,35.61,57.95,415,2,19
04/12/2022,20:22:18,35.59,57.98,408,1,18
04/12/2022,20:22:23,35.56,57.98,408,1,18
04/12/2022,20:22:28,35.56,58.02,410,1,19
04/12/2022,20:22:34,35.58,58.05,422,3,21
04/12/2022,20:22:39,35.56,58.1,434,5,21
04/12/2022,20:22:45,35.55,58.11,445,6,22
04/12/2022,20:22:51,35.61,58.13,459,8,20
04/12/2022,20:22:57,35.59,58.14,448,7,20
04/12/2022,20:23:02,35.61,58.15,454,8,20
04/12/2022,20:23:07,35.64,58.16,448,7,20
04/12/2022,20:23:12,35.64,58.17,448,7,20
04/12/2022,20:23:18,35.66,58.21,454,8,19
04/12/2022,20:23:23,35.65,58.24,445,6,18
04/12/2022,20:23:28,35.67,58.2,459,8,18
04/12/2022,20:23:34,35.68,58.16,439,5,20
04/12/2022,20:23:40,35.71,58.13,452,7,20
04/12/2022,20:23:45,35.69,58.11,444,6,19
04/12/2022,20:23:51,35.69,58.09,447,7,19
04/12/2022,20:23:56,35.69,58.09,452,7,19
04/12/2022,20:24:01,35.73,58.1,457,8,18
04/12/2022,20:24:06,35.71,58.08,444,6,18
04/12/2022,20:24:12,35.72,58.05,452,7,18
04/12/2022,20:24:17,35.72,58.05,447,7,18
04/12/2022,20:24:22,35.76,58.08,452,7,19
04/12/2022,20:24:28,35.71,58.05,466,10,18
04/12/2022,20:24:33,35.71,58.05,455,8,18
04/12/2022,20:24:39,35.71,58.05,477,11,18
04/12/2022,20:24:44,35.72,58.07,455,8,18
04/12/2022,20:24:50,35.73,58.07,464,9,19
04/12/2022,20:24:55,35.73,58.05,450,7,19
04/12/2022,20:25:01,35.73,58.04,450,7,20
04/12/2022,20:25:07,35.73,58.05,450,7,20
04/12/2022,20:25:13,35.75,58.04,450,7,20
04/12/2022,20:25:18,35.73,58.02,450,7,20
04/12/2022,20:25:24,35.77,58.01,450,7,19
04/12/2022,20:25:29,35.79,58.01,450,7,19
04/12/2022,20:25:35,35.77,57.98,445,6,19
04/12/2022,20:25:40,35.79,57.94,445,6,19
04/12/2022,20:25:45,35.78,57.94,455,8,19
04/12/2022,20:25:51,35.8,57.92,445,6,19
04/12/2022,20:25:56,35.78,57.9,460,9,19
04/12/2022,20:26:01,35.81,57.9,450,7,19
04/12/2022,20:26:07,35.8,57.88,460,9,19
04/12/2022,20:26:12,35.81,57.86,442,6,19
04/12/2022,20:26:17,35.81,57.86,442,6,18
04/12/2022,20:26:23,35.77,57.86,445,6,18
04/12/2022,20:26:28,35.79,57.86,450,7,18
04/12/2022,20:26:33,35.77,57.87,459,8,18
